,two_year_recid,race,sex,age,c_charge_degree,priors_count,length_of_stay
162,1,1,1,1,1,2,1.914859562943702
163,1,1,0,1,1,2,-0.35811675891302913
164,0,0,1,1,1,1,-0.3541774585285288
165,0,1,1,1,0,1,0.30368570568303815
166,0,0,0,1,1,1,0.3564723308353435
167,1,1,1,2,1,2,-0.36599535968202995
168,0,0,1,1,1,2,-0.3439352775288277
169,0,0,1,1,0,1,-0.36363177945132974
170,0,0,1,1,1,1,3.756088562659189
171,0,1,1,2,1,1,-0.36126819922062947
172,1,1,0,2,0,0,-0.36363177945132974
173,0,1,1,2,0,0,-0.3604803391437294
174,0,0,1,2,1,0,-0.356541038759229
175,1,1,1,1,1,2,-0.34235955737502755
176,0,0,0,1,1,1,-0.3242387756063257
177,0,0,0,1,0,2,-0.3730861003741307
178,1,0,1,1,1,2,3.842753171118198
179,0,0,1,1,0,0,-0.3439352775288277
180,0,0,1,2,1,2,2.0787344589389187
181,0,0,1,0,1,1,0.981245371817107
182,1,0,0,1,1,1,3.9144484381161053
183,0,0,1,1,0,0,-0.36126819922062947
184,0,1,1,2,1,0,-0.3604803391437294
185,1,1,1,1,1,2,0.5928303539053675
186,0,0,1,2,1,0,-0.1138801350740043
187,0,1,1,1,1,1,-0.3155723147604248
188,1,0,1,1,0,2,-0.3541774585285288
189,0,1,1,1,1,1,-0.26042210937741916
190,0,0,1,0,1,0,-0.3596924790668293
191,1,1,1,1,1,0,0.20835463637812845
192,1,1,1,1,1,0,0.2847770638374363
193,0,0,1,1,1,2,-0.3557531786823289
194,0,0,1,1,0,2,1.057667799276415
195,0,1,1,2,0,1,-0.357328898836129
196,1,0,1,1,1,2,0.11381142715011884
197,1,1,1,1,0,2,-0.28327005160752156
198,0,0,1,1,1,0,-0.37072252014343043
199,1,1,1,0,0,1,-0.26514926983881965
200,1,1,1,1,1,2,0.0421161601522116
201,0,1,1,1,1,2,0.802401134360789
202,1,0,1,0,0,1,-0.3620560592975295
203,1,1,0,0,0,1,0.17368879299452497
204,1,0,1,1,0,1,-0.2493920683008181
205,1,1,0,0,1,2,-0.3628439193744296
206,0,0,1,1,0,1,-0.35890461898992926
207,1,0,1,0,1,1,-0.3557531786823289
208,1,0,1,1,1,1,-0.3447231376057278
209,0,0,1,1,1,2,-0.35890461898992926
210,0,1,1,1,0,1,-0.1729696408415103
211,0,0,0,1,1,1,-0.3628439193744296
212,0,0,1,0,1,0,-0.32502663568322576
213,0,0,0,2,1,0,-0.3652074996051299
214,1,0,0,0,1,0,-0.30611799383762384
215,0,0,0,2,1,0,-0.34235955737502755
216,0,1,1,1,1,0,-0.3738739604510307
217,1,1,1,1,1,0,-0.3447231376057278
218,1,0,1,1,1,2,-0.35811675891302913
219,1,0,1,0,0,1,-0.3518138782978285
220,0,1,0,0,1,1,-0.35890461898992926
221,0,1,1,1,1,1,0.3801081331423459
222,0,0,0,1,0,1,-0.3596924790668293
223,0,0,1,1,0,2,1.8478914564071953
224,1,0,1,2,1,1,0.09411492522761689
225,0,0,1,1,1,0,0.3982289149110478
226,0,1,1,1,1,1,-0.32266305545252555
227,1,0,1,1,0,1,-0.3258144957601259
228,0,1,1,2,0,1,-0.13200091684270612
229,1,1,1,2,1,2,-0.3596924790668293
230,0,1,1,2,1,1,-0.10836511453570372
231,1,0,1,0,0,0,-0.356541038759229
232,1,0,1,1,0,1,-0.34235955737502755
233,0,1,1,1,0,2,-0.3549653186054288
234,1,0,1,0,1,1,0.5313772679071613
235,0,0,1,1,0,2,-0.35890461898992926
236,1,1,1,0,1,0,-0.3652074996051299
237,1,0,1,1,1,2,-0.3242387756063257
238,0,0,1,1,1,1,1.1979068929646293
239,1,0,1,1,1,2,-0.3234509155294256
240,1,1,1,1,0,1,-0.3754496806048309
241,0,1,1,2,1,1,-0.3439352775288277
242,0,0,0,0,0,0,-0.36126819922062947
243,0,0,1,0,1,1,0.30683714599063844
244,1,0,1,0,0,2,-0.1658789001494096
245,0,1,1,2,1,0,-0.34078383722122735
246,1,0,1,1,0,2,-0.3628439193744296
247,0,1,1,1,1,2,-0.16981820053390997
248,0,0,1,1,0,0,-0.3620560592975295
249,1,1,1,1,0,0,-0.3541774585285288
250,1,1,1,1,0,1,-0.35890461898992926
251,0,1,0,1,1,0,-0.356541038759229
252,0,0,1,1,1,0,-0.05163918899889798
253,1,0,1,0,1,0,-0.36126819922062947
254,0,1,0,2,0,0,-0.35338959845162865
255,0,1,1,2,0,0,-0.3541774585285288
256,0,0,1,1,1,2,-0.3549653186054288
257,1,0,1,0,1,0,3.5914258065870723
258,0,1,1,2,1,2,2.913866140453003
259,0,1,1,1,1,2,0.911125824973
260,1,0,1,0,1,1,-0.016185485538394377
261,1,1,1,2,1,2,0.24617192006933236
262,1,1,1,1,0,1,-0.3541774585285288
263,0,0,0,1,1,0,-0.15012169861140798
264,1,1,0,1,0,1,-0.357328898836129
265,0,1,1,1,1,1,-0.3549653186054288
266,1,0,0,0,1,0,-0.3549653186054288
267,0,1,1,1,0,0,-0.36441963952822976
268,0,0,1,0,1,0,-0.36363177945132974
269,1,0,1,1,1,1,0.22805113830063048
270,0,0,1,1,1,0,-0.3541774585285288
271,0,1,0,1,0,0,-0.3037544136069236
272,0,0,0,1,1,1,-0.34078383722122735
273,1,0,1,1,1,2,-0.34787457791332804
274,0,0,1,0,1,1,-0.356541038759229
275,0,0,1,2,1,1,-0.3738739604510307
276,0,1,1,1,1,0,-0.017761205692194516
277,1,0,1,0,1,1,-0.3549653186054288
278,0,1,0,0,1,0,-0.3738739604510307
279,0,1,1,2,0,0,-0.3596924790668293
280,0,1,1,0,1,1,-0.33763239691362706
281,1,0,1,1,0,2,-0.30690585391452396
282,0,1,1,0,1,0,-0.37623754068173093
283,1,0,0,0,1,0,-0.36441963952822976
284,0,0,1,2,1,1,-0.30690585391452396
285,0,0,1,1,0,1,0.5833760329825666
286,0,1,0,2,0,0,-0.3604803391437294
287,1,0,1,0,1,1,-0.3730861003741307
288,0,1,1,1,1,0,-0.34235955737502755
289,1,1,1,0,0,1,-0.36126819922062947
290,1,0,1,0,1,2,3.7813000851199914
291,1,0,1,0,1,0,-0.14775811838070774
292,0,1,1,1,0,1,-0.3730861003741307
293,1,1,0,2,0,1,-0.3604803391437294
294,1,1,1,1,1,0,-0.2210291055324152
295,1,0,1,1,1,2,2.0275235539404135
296,0,1,0,2,0,1,-0.36126819922062947
297,0,0,0,0,1,0,-0.3549653186054288
298,0,0,1,1,1,1,-0.297451532991723
299,0,0,1,1,0,1,-0.34314741745192756
300,0,1,1,0,0,1,0.3107764463751389
301,1,0,1,1,1,2,-0.35811675891302913
302,1,0,1,0,1,2,4.542372919405469
303,0,1,1,0,0,1,-0.26593712991571977
304,1,0,1,1,1,2,-0.05085132892199788
305,0,0,1,1,1,1,-0.2785428911461211
306,0,0,1,2,1,1,-0.36363177945132974
307,0,0,1,1,1,2,-0.3541774585285288
308,1,1,1,2,1,2,6.447418585349864
309,0,1,0,2,0,0,-0.3738739604510307
310,1,0,1,1,1,2,0.22647541814683034
311,0,0,1,1,1,2,0.5912546337515675
312,0,1,1,1,0,1,-0.3722982402972306
313,1,1,1,2,1,2,5.126965096465328
314,1,0,1,1,1,2,-0.3596924790668293
315,0,0,1,1,1,1,-0.34235955737502755
316,1,0,1,0,0,0,0.025571098537309916
317,0,0,1,1,1,2,-0.3722982402972306
318,0,1,1,1,1,0,-0.3738739604510307
319,0,1,1,2,1,1,-0.3628439193744296
320,0,0,1,2,1,2,-0.1493338385345079
321,1,0,1,1,1,2,0.607799695366469
322,1,1,1,2,1,2,-0.2446649078394176
323,0,0,1,1,1,1,-0.3557531786823289
324,0,1,0,1,0,0,-0.3596924790668293
325,0,1,1,2,0,0,-0.35890461898992926
326,0,0,0,0,1,0,-0.3722982402972306
327,1,0,0,1,1,1,-0.3628439193744296
328,0,0,1,2,1,2,1.7029252022575805
329,1,1,1,1,0,0,-0.3738739604510307
330,0,1,1,0,1,0,-0.33999597714432733
331,0,1,0,2,0,1,-0.3549653186054288
332,1,0,1,1,0,2,-0.357328898836129
333,1,1,1,0,1,1,-0.36599535968202995
334,1,0,1,1,1,2,-0.31163301437592444
335,1,0,1,0,1,0,-0.3604803391437294
336,1,1,1,1,0,0,-0.2746035907616206
337,0,0,1,1,1,2,1.2790564808853373
338,1,0,1,2,0,2,0.7401601882856825
339,0,0,1,0,1,1,1.629654215105873
340,0,1,1,1,1,0,-0.3746618205279308
341,1,0,1,2,1,1,0.10987212676561847
342,0,0,1,1,1,1,0.24774764022313245
343,1,1,1,0,1,1,-0.3738739604510307
344,0,1,1,1,1,0,-0.3541774585285288
345,0,0,1,1,1,1,-0.35890461898992926
346,1,0,0,0,1,1,-0.35811675891302913
347,1,1,1,0,1,1,0.22805113830063048
348,0,1,1,1,0,1,-0.35890461898992926
349,0,1,0,0,1,0,-0.3730861003741307
350,0,1,1,1,0,0,-0.37623754068173093
351,1,0,1,0,1,1,-0.35811675891302913
352,1,0,1,0,0,1,-0.33999597714432733
353,0,1,1,2,1,2,-0.3439352775288277
354,0,0,1,1,0,1,-0.2927243725303225
355,0,0,1,1,1,2,-0.3541774585285288
356,0,1,1,0,0,0,-0.3652074996051299
357,0,0,1,1,1,2,0.8449455785133932
358,1,0,0,2,1,1,-0.19345400284091238
359,1,1,1,1,0,0,-0.3045422736838237
360,1,0,1,1,0,2,-0.3557531786823289
361,0,0,0,2,1,2,0.870944961051096
362,1,0,1,1,0,1,-0.13042519668890598
363,1,0,1,1,1,1,-0.356541038759229
364,1,1,1,2,1,2,-0.34314741745192756
365,1,1,1,1,1,1,-0.30139083337622335
366,1,0,1,2,1,2,1.8723151187910978
367,1,0,1,1,1,2,-0.36363177945132974
368,0,0,1,1,1,2,-0.3549653186054288
369,0,1,1,2,1,1,-0.3195116151449252
370,0,0,1,1,1,0,-0.357328898836129
371,0,0,1,0,1,2,-0.36126819922062947
372,1,0,1,2,1,2,-0.26830071014642
373,1,0,1,1,1,2,-0.18399968191811142
374,1,0,0,0,1,2,0.11538714730391905
375,0,0,1,2,0,1,-0.3620560592975295
376,1,0,1,2,0,2,-0.3021786934531234
377,1,1,1,0,0,1,-0.3722982402972306
378,0,0,1,1,0,1,-0.35890461898992926
379,1,0,1,0,1,1,-0.33842025699052714
380,0,1,1,2,1,0,0.2895042242988367
381,0,1,1,1,1,1,-0.24624062799321772
382,0,1,1,2,1,1,-0.3596924790668293
383,1,1,1,1,1,2,-0.35811675891302913
384,0,1,1,2,1,0,-0.3604803391437294
385,1,1,1,2,1,1,-0.37072252014343043
386,1,1,0,0,1,2,-0.31399659460662466
387,1,1,1,0,0,1,-0.21472622491721455
388,0,0,1,1,1,1,-0.3541774585285288
389,0,1,0,1,0,0,-0.35811675891302913
390,1,1,1,1,1,2,-0.031154826999495854
391,1,1,1,1,0,0,-0.35811675891302913
392,0,0,1,2,0,0,-0.3557531786823289
393,1,0,1,1,1,2,-0.22181696560931527
394,0,1,0,2,0,0,-0.3596924790668293
395,0,0,1,1,1,0,-0.35338959845162865
396,1,0,1,1,1,2,0.11302356707321881
397,1,1,1,1,0,1,-0.356541038759229
398,1,0,1,2,1,2,-0.11939515561230485
399,0,1,1,1,1,1,-0.3722982402972306
400,0,1,1,2,0,1,-0.357328898836129
401,0,1,1,1,1,1,1.0222140958159114
402,0,1,1,2,0,2,-0.3596924790668293
403,0,0,0,1,0,0,-0.35338959845162865
404,0,1,0,2,0,0,-0.3596924790668293
405,0,0,1,1,0,1,-0.36993466006653036
406,0,0,0,1,1,2,0.6070118352895689
407,1,0,1,2,1,2,2.0267356938635137
408,1,0,1,1,1,2,-0.33605667675982687
409,0,1,1,0,1,0,-0.3541774585285288
410,1,1,1,2,1,1,2.0621893973240173
411,1,0,1,2,0,0,0.47859064275485597
412,0,0,1,2,0,2,-0.35811675891302913
413,1,0,1,0,1,0,-0.37151038022033045
414,1,1,1,1,1,2,-0.2761793109154208
415,0,1,1,0,1,0,-0.09339577307460221
416,0,1,1,0,0,0,-0.3541774585285288
417,0,1,1,1,1,2,-0.35338959845162865
418,1,0,1,1,0,1,-0.3620560592975295
419,1,0,1,1,1,2,-0.2958758128379228
420,1,1,1,1,1,1,-0.3652074996051299
421,0,0,1,1,1,0,-0.33842025699052714
422,1,0,1,1,1,2,-0.3447231376057278
423,1,1,1,0,0,2,-0.18636326214881166
424,1,1,1,0,1,2,0.8016132742838888
425,0,1,1,2,0,1,-0.3730861003741307
426,1,0,1,1,1,2,-0.3541774585285288
427,1,1,1,2,1,1,-0.3596924790668293
428,0,0,1,1,0,1,-0.37623754068173093
429,0,1,1,0,1,1,-0.3604803391437294
430,0,0,1,1,1,2,-0.3439352775288277
431,0,0,1,2,1,2,2.3466068850849457
432,0,0,1,1,1,1,-0.34314741745192756
433,1,0,1,1,1,1,-0.3202994752218253
434,0,1,1,2,0,1,-0.2690885702233201
435,1,0,1,0,1,1,-0.22733198614761582
436,0,0,1,2,0,1,-0.3604803391437294
437,0,0,1,1,1,0,-0.1887268423795119
438,0,1,1,1,1,1,-0.25805852914671895
439,1,0,1,1,1,2,-0.3557531786823289
440,0,0,0,1,0,0,-0.3541774585285288
441,0,0,1,0,1,1,-0.3730861003741307
442,1,1,1,1,1,1,-0.14697025830380767
443,0,1,1,1,1,2,-0.3738739604510307
444,1,0,1,1,0,2,0.8354912575905923
445,0,1,1,1,0,2,3.0312572919111154
446,1,0,0,1,1,2,-0.35338959845162865
447,0,1,1,1,0,0,-0.3730861003741307
448,0,0,1,1,1,2,-0.3730861003741307
449,0,0,0,1,0,0,-0.35890461898992926
450,1,1,0,2,0,1,-0.3738739604510307
451,1,1,1,2,1,2,-0.357328898836129
452,1,1,1,1,1,2,0.20835463637812845
453,1,1,1,2,0,0,-0.35890461898992926
454,0,1,0,2,0,0,-0.35811675891302913
455,1,0,1,1,1,2,-0.356541038759229
456,0,1,1,0,0,1,-0.1887268423795119
457,1,0,1,0,1,2,-0.05163918899889798
458,1,0,1,0,1,2,1.8526186168685959
459,0,0,1,1,1,2,0.6085875554433693
460,0,0,1,1,0,0,-0.36363177945132974
461,0,1,0,0,1,0,-0.336844536836727
462,0,0,1,1,0,0,-0.3518138782978285
463,0,1,0,0,1,0,-0.36126819922062947
464,0,0,1,0,1,1,-0.3604803391437294
465,1,0,1,1,0,1,-0.0012161440772928322
466,1,0,1,1,0,1,-0.26278568960811943
467,1,0,1,2,1,2,0.7228272665938807
468,0,0,1,1,1,0,-0.356541038759229
469,0,0,0,1,1,1,-0.3604803391437294
470,0,0,1,1,0,1,-0.3596924790668293
471,1,1,1,1,1,2,0.27217130260703504
472,0,1,0,2,0,0,-0.3730861003741307
473,0,1,1,1,0,1,-0.35811675891302913
474,1,0,1,1,0,2,-0.356541038759229
475,0,1,1,1,1,0,-0.36993466006653036
476,1,0,1,0,1,0,-0.36126819922062947
477,1,0,1,1,1,2,0.22726327822373038
478,1,1,1,1,0,1,0.10120566591971761
479,0,0,1,1,1,2,-0.3746618205279308
480,1,0,1,2,0,2,-0.30611799383762384
481,0,1,0,0,1,1,-0.2690885702233201
482,0,0,0,0,0,0,-0.23127128653211626
483,1,1,0,0,1,1,0.04369188030601173
484,0,0,1,1,0,0,-0.35890461898992926
485,1,0,1,2,1,2,-0.3549653186054288
486,1,0,1,0,1,2,-0.36363177945132974
487,1,0,1,0,1,2,-0.33763239691362706
488,1,1,1,1,1,1,-0.357328898836129
489,0,1,1,1,0,2,-0.3549653186054288
490,0,1,1,1,1,1,-0.3549653186054288
491,1,1,1,0,1,1,-0.20605976407131368
492,0,0,1,1,1,0,-0.33999597714432733
493,1,0,1,1,1,2,-0.3730861003741307
494,1,0,0,2,1,2,-0.35811675891302913
495,1,1,0,2,0,0,-0.3415716972981275
496,0,0,1,0,1,0,-0.36441963952822976
497,0,0,0,0,1,0,-0.356541038759229
498,0,0,1,1,1,0,-0.3234509155294256
499,1,1,1,0,1,1,0.3288972281438408
500,1,1,1,0,1,1,0.13823508953402136
501,1,1,1,1,1,1,0.35883591106604373
502,1,0,1,1,1,2,-0.34078383722122735
503,0,0,0,1,1,2,-0.3604803391437294
504,0,1,0,1,1,1,-0.35338959845162865
505,0,0,1,0,1,2,1.3216009250379417
506,1,1,1,1,1,1,-0.28327005160752156
507,1,0,1,1,1,0,-0.34629885775952796
508,1,0,1,0,1,1,-0.3541774585285288
509,1,0,0,1,1,2,0.8528241792823942
510,1,0,1,1,1,2,-0.33842025699052714
511,1,1,1,1,1,1,-0.3628439193744296
512,1,0,1,1,1,2,0.6653134809801751
513,0,0,1,2,1,2,-0.34551099768262783
514,0,0,1,0,1,1,-0.36441963952822976
515,1,0,1,1,0,1,1.1301509263512222
516,1,0,1,2,0,1,-0.2801186112999212
517,0,0,1,1,0,0,-0.3557531786823289
518,0,0,0,1,1,0,-0.356541038759229
519,0,1,1,2,0,1,-0.356541038759229
520,0,0,1,0,1,0,-0.3604803391437294
521,0,0,1,1,1,2,-0.34235955737502755
522,0,1,1,1,1,2,0.037388999690811116
523,0,1,0,2,1,1,0.17132521276382473
524,0,0,1,1,0,0,-0.356541038759229
525,1,0,1,1,0,0,-0.36126819922062947
526,1,0,1,2,1,2,-0.26042210937741916
527,0,0,1,0,1,1,5.73204163552459
528,0,1,0,1,0,0,-0.3596924790668293
529,1,1,0,1,1,2,-0.3155723147604248
530,1,0,1,0,0,1,1.1380295271202232
531,0,0,1,1,1,1,-0.36126819922062947
532,1,1,1,2,1,1,-0.36126819922062947
533,1,0,1,1,1,2,0.002723156307207546
534,0,0,1,1,1,2,-0.24702848807011785
535,0,0,1,1,0,2,-0.336844536836727
536,1,0,1,1,1,2,-0.33999597714432733
537,0,1,1,2,1,1,-0.35890461898992926
538,1,0,1,1,0,1,-0.34078383722122735
539,0,0,1,0,1,1,5.179751721617634
540,1,0,1,1,1,2,6.036155625208021
541,1,1,1,2,1,1,-0.3392081170674272
542,1,0,1,2,1,2,0.25089908053073284
543,0,0,1,1,0,1,-0.26278568960811943
544,0,0,1,0,0,1,-0.3549653186054288
545,0,0,1,1,1,1,-0.35811675891302913
546,0,0,1,2,1,0,-0.35811675891302913
547,0,0,1,1,1,2,-0.3557531786823289
548,1,0,1,1,0,2,-0.26436140976191963
549,1,0,1,1,1,2,-0.3730861003741307
550,0,1,1,1,1,1,-0.33999597714432733
551,1,1,0,2,1,2,6.897286689259809
552,0,1,1,2,1,1,-0.258846389223619
553,0,0,1,1,1,2,0.3895624540651469
554,0,0,1,1,1,0,-0.35811675891302913
555,0,1,0,2,1,1,-0.0012161440772928322
556,1,0,1,0,1,0,-0.357328898836129
557,1,0,1,2,1,2,4.329650698642447
558,0,0,1,1,0,0,-0.34235955737502755
559,0,0,1,0,1,1,-0.36126819922062947
560,1,1,1,1,1,1,-0.06975997076759981
561,0,1,1,2,1,0,-0.3210873352987254
562,0,1,1,0,0,0,-0.356541038759229
563,1,1,1,1,1,0,-0.35890461898992926
564,0,1,1,2,0,0,-0.31714803491422494
565,0,1,1,1,0,1,-0.3754496806048309
566,0,1,1,0,1,1,-0.35890461898992926
567,0,0,1,0,1,0,-0.37151038022033045
568,1,1,1,1,1,2,4.690490613862684
569,0,1,1,1,1,1,-0.3620560592975295
570,1,1,1,0,1,1,-0.3557531786823289
571,1,0,1,1,1,0,-0.3234509155294256
572,1,0,0,1,1,2,-0.36126819922062947
573,0,0,1,2,1,1,-0.3541774585285288
574,0,1,0,1,1,1,-0.22260482568621537
575,1,0,1,0,1,2,-0.22260482568621537
576,0,0,1,0,1,0,-0.3526017383747285
577,0,0,1,1,1,0,-0.3541774585285288
578,0,0,1,0,1,0,-0.36678321975892997
579,0,0,1,2,1,2,-0.336844536836727
580,1,0,1,1,1,2,-0.3344809566060267
581,0,0,1,0,1,0,-0.3746618205279308
582,0,1,0,0,0,0,-0.3392081170674272
583,1,1,1,1,1,2,-0.31872375506802514
584,1,0,1,0,1,0,-0.35811675891302913
585,0,1,0,2,1,0,-0.3557531786823289
586,0,1,1,0,1,1,-0.3652074996051299
587,1,0,1,1,0,2,-0.36126819922062947
